replicate,lengthscale,precon,nugget,block_size,m,m_cg,m_pcg
0,0.1353352832366127,BlockJacobi,,1.0,50,1901.0,1580.0
0,0.1353352832366127,BlockJacobi,,5.0,50,1901.0,1498.0
0,0.1353352832366127,BlockJacobi,,10.0,50,1901.0,1496.0
0,0.1353352832366127,BlockJacobi,,15.0,50,1901.0,1428.0
0,0.1353352832366127,BlockJacobi,,20.0,50,1901.0,1420.0
0,0.1353352832366127,Nystrom,0.1353352832366127,,50,1901.0,1210.0
0,0.1353352832366127,Nystrom,0.36787944117144233,,50,1901.0,1250.0
0,0.1353352832366127,Nystrom,1.0,,50,1901.0,1249.0
0,0.1353352832366127,Nystrom,2.718281828459045,,50,1901.0,1228.0
0,0.1353352832366127,Nystrom,7.38905609893065,,50,1901.0,1229.0
0,0.1353352832366127,NystromRandom,0.1353352832366127,,50,1901.0,1211.0
0,0.1353352832366127,NystromRandom,0.36787944117144233,,50,1901.0,1199.0
0,0.1353352832366127,NystromRandom,1.0,,50,1901.0,1182.0
0,0.1353352832366127,NystromRandom,2.718281828459045,,50,1901.0,1211.0
0,0.1353352832366127,NystromRandom,7.38905609893065,,50,1901.0,1204.0
0,0.1353352832366127,NystromDiagonal,0.1353352832366127,,50,1901.0,1213.0
0,0.1353352832366127,NystromDiagonal,0.36787944117144233,,50,1901.0,1262.0
0,0.1353352832366127,NystromDiagonal,1.0,,50,1901.0,1230.0
0,0.1353352832366127,NystromDiagonal,2.718281828459045,,50,1901.0,1266.0
0,0.1353352832366127,NystromDiagonal,7.38905609893065,,50,1901.0,1267.0
0,0.1353352832366127,RandomisedEVD,0.1353352832366127,,50,1901.0,996.0
0,0.1353352832366127,RandomisedEVD,0.36787944117144233,,50,1901.0,1003.0
0,0.1353352832366127,RandomisedEVD,1.0,,50,1901.0,1011.0
0,0.1353352832366127,RandomisedEVD,2.718281828459045,,50,1901.0,1000.0
0,0.1353352832366127,RandomisedEVD,7.38905609893065,,50,1901.0,993.0
0,0.1353352832366127,FITC,0.1353352832366127,,50,1901.0,867.0
0,0.1353352832366127,FITC,0.36787944117144233,,50,1901.0,842.0
0,0.1353352832366127,FITC,1.0,,50,1901.0,902.0
0,0.1353352832366127,FITC,2.718281828459045,,50,1901.0,952.0
0,0.1353352832366127,FITC,7.38905609893065,,50,1901.0,889.0
0,0.36787944117144233,BlockJacobi,,1.0,50,9555.0,7108.0
0,0.36787944117144233,BlockJacobi,,5.0,50,9555.0,5292.0
0,0.36787944117144233,BlockJacobi,,10.0,50,9555.0,4366.0
0,0.36787944117144233,BlockJacobi,,15.0,50,9555.0,3533.0
0,0.36787944117144233,BlockJacobi,,20.0,50,9555.0,3012.0
0,0.36787944117144233,Nystrom,0.1353352832366127,,50,9555.0,2326.0
0,0.36787944117144233,Nystrom,0.36787944117144233,,50,9555.0,2361.0
0,0.36787944117144233,Nystrom,1.0,,50,9555.0,2260.0
0,0.36787944117144233,Nystrom,2.718281828459045,,50,9555.0,2190.0
0,0.36787944117144233,Nystrom,7.38905609893065,,50,9555.0,2086.0
0,0.36787944117144233,NystromRandom,0.1353352832366127,,50,9555.0,1789.0
0,0.36787944117144233,NystromRandom,0.36787944117144233,,50,9555.0,1854.0
0,0.36787944117144233,NystromRandom,1.0,,50,9555.0,1826.0
0,0.36787944117144233,NystromRandom,2.718281828459045,,50,9555.0,1893.0
0,0.36787944117144233,NystromRandom,7.38905609893065,,50,9555.0,1977.0
0,0.36787944117144233,NystromDiagonal,0.1353352832366127,,50,9555.0,2309.0
0,0.36787944117144233,NystromDiagonal,0.36787944117144233,,50,9555.0,2188.0
